date,dir,entry,or_pts,day_range,ts_eval_15_10,ts_eval_155_95,ts_nuke_80_25,ts_renuke_105_25,ts_flip_85_50,ax_eval_30_10,ax_eval2_40_10,ax_nuke_325_25,ax_flip_1625_50,month,ts_eval_15_10_w,ts_nuke_80_25_w,ts_renuke_105_25_w,ts_flip_85_50_w,ax_eval_30_10_w,ax_nuke_325_25_w,ax_flip_1625_50_w,regime
2025-06-23,1,21875.25,5.25,354.75,win,win,win,win,win,loss,loss,win,win,2025-06,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-06-24,1,22318.5,29.5,188.25,loss,loss,loss,loss,win,loss,loss,loss,loss,2025-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jun-Aug25
2025-06-25,1,22544.75,45.5,159.75,loss,loss,loss,loss,loss,loss,loss,loss,loss,2025-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jun-Aug25
2025-06-26,-1,22514.0,41.25,218.0,loss,loss,loss,loss,win,loss,loss,win,win,2025-06,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-06-27,1,22736.0,27.5,225.5,win,win,win,loss,win,win,win,win,win,2025-06,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Jun-Aug25
2025-06-30,-1,22818.25,55.75,153.75,loss,loss,loss,loss,win,loss,loss,loss,win,2025-06,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Jun-Aug25
2025-07-01,-1,22788.5,8.25,253.75,loss,loss,loss,loss,win,loss,loss,loss,loss,2025-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jun-Aug25
2025-07-02,1,22690.75,35.75,203.5,win,win,win,win,win,win,win,win,win,2025-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Jun-Aug25
2025-07-03,1,22948.25,12.5,172.25,win,win,win,win,win,win,win,win,win,2025-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Jun-Aug25
2025-07-04,1,22923.5,7.75,57.5,loss,loss,loss,loss,win,loss,loss,loss,win,2025-07,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Jun-Aug25
2025-07-07,1,22948.75,1.5,197.75,loss,loss,loss,loss,win,loss,loss,loss,win,2025-07,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Jun-Aug25
2025-07-08,-1,22912.0,23.75,121.75,win,win,loss,loss,win,loss,loss,win,win,2025-07,1.0,0.0,0.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-07-09,1,23055.25,85.75,192.25,win,win,loss,loss,win,win,win,win,win,2025-07,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Jun-Aug25
2025-07-10,-1,23029.75,46.75,188.75,win,win,win,win,win,win,win,win,win,2025-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Jun-Aug25
2025-07-11,-1,22874.5,32.0,158.5,loss,loss,loss,loss,win,loss,loss,loss,loss,2025-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jun-Aug25
2025-07-14,-1,22868.5,65.5,224.25,win,win,loss,loss,win,loss,loss,loss,win,2025-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Jun-Aug25
2025-07-15,-1,23160.25,43.25,172.75,loss,loss,loss,loss,win,loss,loss,win,win,2025-07,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-07-16,-1,23014.75,57.0,264.5,loss,loss,loss,loss,win,loss,loss,win,win,2025-07,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-07-17,1,23118.75,16.5,214.0,win,win,win,win,win,win,win,win,win,2025-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Jun-Aug25
2025-07-18,-1,23274.75,25.0,140.5,loss,loss,win,win,win,loss,loss,win,win,2025-07,0.0,1.0,1.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-07-21,1,23339.25,86.5,175.0,win,win,win,unresolved,win,win,win,win,win,2025-07,1.0,1.0,,1.0,1.0,1.0,1.0,Jun-Aug25
2025-07-22,-1,23261.5,79.5,241.75,loss,loss,win,win,win,loss,loss,win,win,2025-07,0.0,1.0,1.0,1.0,0.0,1.0,1.0,Jun-Aug25
2025-07-23,-1,23208.25,53.25,178.0,win,win,loss,loss,win,win,win,win,win,2025-07,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Jun-Aug25
